03, longmont,  nikodemus,  elasticstack,   data,           lnmt2cuelkdata2,     br0,   52:54:00:9B:68:03,   192.168.1.126,  24,                br72,  52:54:00:9b:00:00,    0.0.0.0,    24,               centos8_20g.qcow2,  4096,  2
04, longmont,  nikodemus,  elasticstack,   kibana,         lnmt2cuelkkib1,      br0,   52:54:00:9B:68:04,   192.168.1.127,  24,                br72,  52:54:00:9b:00:00,    0.0.0.0,    24,               centos8_20g.qcow2,  4096,  2
05, longmont,  nikodemus,  elasticstack,   logging,        lnmt2cuelklog1,      br0,   52:54:00:9B:68:05,   192.168.1.128,  24,                br72,  52:54:00:9b:00:00,    0.0.0.0,    24,               centos8_20g.qcow2,  4096,  2
06, longmont,  nikodemus,  elasticstack,   logging,        lnmt2cuelklog2,      br0,   52:54:00:9B:68:06,   192.168.1.129,  24,                br72,  52:54:00:9b:00:00,    0.0.0.0,    24,               centos8_20g.qcow2,  4096,  2
07, longmont,  nikodemus,  elasticstack,   logging,        lnmt2cuelklog3,      br0,   52:54:00:9B:68:07,   192.168.1.130,  24,                br72,  52:54:00:9b:00:00,    0.0.0.0,    24,               centos8_20g.qcow2,  4096,  2
08, longmont,  nikodemus,  elasticstack,   master,         lnmt2cuelkmstr1,     br0,   52:54:00:9B:68:08,   192.168.1.131,  24,                br72,  52:54:00:9b:00:00,    0.0.0.0,    24,               centos8_20g.qcow2,  4096,  2
09, longmont,  nikodemus,  elasticstack,   master,         lnmt2cuelkmstr2,     br0,   52:54:00:9B:68:09,   192.168.1.132,  24,                br72,  52:54:00:9b:00:00,    0.0.0.0,    24,               centos8_20g.qcow2,  4096,  2
10, longmont,  nikodemus,  elasticstack,   master,         lnmt2cuelkmstr3,     br0,   52:54:00:9B:68:0A,   192.168.1.133,  24,                br72,  52:54:00:9b:00:00,    0.0.0.0,    24,               centos8_20g.qcow2,  4096,  2
11, longmont,  nikodemus,  services,       solaris,        lnmt2cuom2540,       br0,   52:54:00:9B:68:0B,   192.168.1.134,  24,                br72,  52:54:00:9b:00:00,    0.0.0.0,    24,               centos8_20g.qcow2,  4096,  2
12, longmont,  nikodemus,  cicd,           tower,          lnmt2cuomans1,       br0,   52:54:00:9B:68:0C,   192.168.1.135,  24,                br72,  52:54:00:9b:00:00,    0.0.0.0,    24,               centos8_20g.qcow2,  4096,  2
13, longmont,  nikodemus,  services,       haproxy,        lnmt2cuomapisvr1,    br0,   52:54:00:9B:68:0D,   192.168.1.136,  24,                br72,  52:54:00:9b:00:00,    0.0.0.0,    24,               centos8_20g.qcow2,  4096,  2
14, longmont,  nikodemus,  cicd,           artifactory,    lnmt2cuomart1,       br0,   52:54:00:9B:68:0E,   192.168.1.137,  24,                br72,  52:54:00:9b:00:00,    0.0.0.0,    24,               centos8_20g.qcow2,  4096,  2
15, longmont,  nikodemus,  cicd,           tower,          lnmt2cuomawx1,       br0,   52:54:00:9B:68:0F,   192.168.1.138,  24,                br72,  52:54:00:9b:00:00,    0.0.0.0,    24,               centos8_20g.qcow2,  4096,  2
16, longmont,  nikodemus,  database,       cassandra,      lnmt2cuomcas1,       br0,   52:54:00:9B:68:10,   192.168.1.139,  24,                br72,  52:54:00:9b:00:00,    0.0.0.0,    24,               centos8_20g.qcow2,  4096,  2
17, longmont,  nikodemus,  documentation,  confluence,     lnmt2cuomcon1,       br0,   52:54:00:9B:68:11,   192.168.1.140,  24,                br72,  52:54:00:9b:00:00,    0.0.0.0,    24,               centos8_20g.qcow2,  4096,  2
18, longmont,  nikodemus,  patching,       foreman,        lnmt2cuomforeman,    br0,   52:54:00:9B:68:12,   192.168.1.141,  24,                br72,  52:54:00:9b:00:00,    0.0.0.0,    24,               centos8_20g.qcow2,  4096,  2
19, longmont,  nikodemus,  cicd,           gitlab,         lnmt2cuomgitlab,     br0,   52:54:00:9B:68:13,   192.168.1.142,  24,                br72,  52:54:00:9b:00:00,    0.0.0.0,    24,               centos8_20g.qcow2,  4096,  2
20, longmont,  nikodemus,  monitoring,     grafana,        lnmt2cuomgraf1,      br0,   52:54:00:9B:68:14,   192.168.1.143,  24,                br72,  52:54:00:9b:00:00,    0.0.0.0,    24,               centos8_20g.qcow2,  4096,  2
21, longmont,  nikodemus,  services,       haproxy,        lnmt2cuomhap1,       br0,   52:54:00:9B:68:15,   192.168.1.144,  24,                br72,  52:54:00:9b:00:00,    0.0.0.0,    24,               centos8_20g.qcow2,  4096,  2
22, longmont,  nikodemus,  services,       freeipa,        lnmt2cuomifidm1,     br0,   52:54:00:9B:68:16,   192.168.1.145,  24,                br72,  52:54:00:9b:00:00,    0.0.0.0,    24,               centos8_20g.qcow2,  4096,  2
