03, nederland, nikodemus,  services,       backup,         ndld1cuombackup1,    52:54:00:9B:69:03,   192.168.1.178,  centos8_20g.qcow2,  4096,  2
04, nederland, nikodemus,  develop,        coding,         ndld1cuomdev1,       52:54:00:9B:69:04,   192.168.1.179,  centos8_20g.qcow2,  4096,  2
05, nederland, nikodemus,  develop,        coding,         ndld1cuomgit1,       52:54:00:9B:69:05,   192.168.1.180,  centos8_20g.qcow2,  4096,  2
06, nederland, nikodemus,  storage,        movies,         ndld1cuomovie1,      52:54:00:9B:69:06,   192.168.1.181,  centos8_20g.qcow2,  4096,  2
07, nederland, nikodemus,  develop,        coding,         ndld1cuomphoto1,     52:54:00:9B:69:07,   192.168.1.182,  centos8_20g.qcow2,  4096,  2
08, nederland, nikodemus,  services,       backup,         ndld1cuomsamba1,     52:54:00:9B:69:08,   192.168.1.183,  centos8_20g.qcow2,  4096,  2
09, nederland, nikodemus,  management,     provision,      ndld1cuomtool11,     52:54:00:9B:69:09,   192.168.1.184,  centos8_20g.qcow2,  4096,  2
10, nederland, nikodemus,  storage,        television,     ndld1cuomtv1,        52:54:00:9B:69:0A,   192.168.1.185,  centos8_20g.qcow2,  4096,  2
11, nederland, nikodemus,  database,       mysql,          ndld1cuomysql1,      52:54:00:9B:69:0B,   192.168.1.186,  centos8_20g.qcow2,  4096,  2
12, nederland, nikodemus,  desktop,        windows,        ndld1cuomwin7,       52:54:00:9B:69:0C,   192.168.1.187,  centos8_20g.qcow2,  4096,  2
13, nederland, nikodemus,  desktop,        windows,        ndld1cuomwinxp,      52:54:00:9B:69:0D,   192.168.1.188,  centos8_20g.qcow2,  4096,  2

