#ID  Environment   Storage    Application    Type          Servername        MAC                 IP Address       Netmask  Network        Image                     RAM     CPU
10,  tatooine,     SlashVMs,  elk,           master,       tato0cuomem3,     00:50:56:9b:03:0a,  192.168.103.151, 24,      Staging,       tato0cuomrocky8_slash,     4096,   2
11,  tatooine,     MonkeyVMs, automation,    runner,       tato0cuomglrunr1, 00:50:56:9b:03:0b,  192.168.103.54,  24,      Staging,       tato0cuomrocky8_monkey,    4096,   2
12,  tatooine,     NikiVMs,   kubernetes,    haproxy,      tato0cuomhap1,    00:50:56:9b:03:0c,  192.168.103.100, 24,      Staging,       tato0cuomrocky8_morgan,    4096,   2
13,  tatooine,     NikiVMs,   kubernetes,    haproxy,      tato0cuomhap2,    00:50:56:9b:03:0d,  192.168.103.62,  24,      Staging,       tato0cuomrocky8_morgan,    4096,   2
14,  tatooine,     NikiVMs,   kubernetes,    worker,       tato0cuomknode1,  00:50:56:9b:03:0e,  192.168.103.163, 24,      Staging,       tato0cuomcentos7_morgan,  16384,   4
15,  tatooine,     NikiVMs,   kubernetes,    worker,       tato0cuomknode2,  00:50:56:9b:03:0f,  192.168.103.164, 24,      Staging,       tato0cuomcentos7_morgan,  16384,   4
16,  tatooine,     NikiVMs,   kubernetes,    worker,       tato0cuomknode3,  00:50:56:9b:03:10,  192.168.103.165, 24,      Staging,       tato0cuomcentos7_morgan,  16384,   4
17,  tatooine,     NikiVMs,   kubernetes,    control,      tato0cuomkube1,   00:50:56:9b:03:11,  192.168.103.160, 24,      Staging,       tato0cuomcentos7_morgan,   8192,   4
18,  tatooine,     NikiVMs,   kubernetes,    control,      tato0cuomkube2,   00:50:56:9b:03:12,  192.168.103.161, 24,      Staging,       tato0cuomcentos7_morgan,   8192,   4
19,  tatooine,     NikiVMs,   kubernetes,    control,      tato0cuomkube3,   00:50:56:9b:03:13,  192.168.103.162, 24,      Staging,       tato0cuomcentos7_morgan,   8192,   4
20,  tatooine,     NikiVMs,   kubernetes,    storage,      tato0cuomnfs1,    00:50:56:9b:03:14,  192.168.103.170, 24,      Staging,       tato0cuomrocky8_morgan,    4096,   2
21,  tatooine,     SlashVMs,  database,      postgresql,   tato0cuompgrs1,   00:50:56:9b:03:15,  192.168.103.99,  24,      Staging,       tato0cuomrocky8_slash,     4096,   2
22,  tatooine,     MonkeyVMs, management,    tool,         tato0cuomtool11,  00:50:56:9b:03:16,  192.168.103.90,  24,      Staging,       tato0cuomrocky8_monkey,    2048,   2


02,  longmont,     SlashVMs,  management,    2540,         lnmt1cuom2540,    00:50:56:9b:04:02,  192.168.104.68,  24,      Production,    lnmt1cuomrocky8_slash,     2048,   2
03,  longmont,     MonkeyVMs, management,    tower,        lnmt1cuomawx1,    00:50:56:9b:04:03,  192.168.104.76,  24,      Production,    lnmt1cuomrocky8_monkey,    2048,   2
04,  longmont,     SlashVMs,  database,      cassandra,    lnmt1cuomcas1,    00:50:56:9b:04:04,  192.168.104.69,  24,      Production,    lnmt1cuomrocky8_slash,     2048,   2
05,  longmont,     MonkeyVMs, management,    dns,          lnmt1cuomdns1,    00:50:56:9b:04:05,  192.168.104.153, 24,      Production,    lnmt1cuomrocky8_monkey,    2048,   2
06,  longmont,     MonkeyVMs, management,    dns,          lnmt1cuomdns2,    00:50:56:9b:04:06,  192.168.104.154, 24,      Production,    lnmt1cuomrocky8_monkey,    2048,   2
07,  longmont,     SlashVMs,  elk,           data,         lnmt1cuomed1,     00:50:56:9b:04:07,  192.168.104.145, 24,      Prodection,    lnmt1cuomrocky8_morgan,    4096,   2
08,  longmont,     SlashVMs,  elk,           data,         lnmt1cuomed2,     00:50:56:9b:04:08,  192.168.104.146, 24,      Prodection,    lnmt1cuomrocky8_morgan,    4096,   2
09,  longmont,     SlashVMs,  elk,           kibana,       lnmt1cuomek1,     00:50:56:9b:04:09,  192.168.104.147, 24,      Prodection,    lnmt1cuomrocky8_morgan,    4096,   2
10,  longmont,     SlashVMs,  elk,           logstash,     lnmt1cuomel1,     00:50:56:9b:04:0a,  192.168.104.148, 24,      Prodection,    lnmt1cuomrocky8_morgan,    4096,   2
11,  longmont,     SlashVMs,  elk,           master,       lnmt1cuomem1,     00:50:56:9b:04:0b,  192.168.104.149, 24,      Prodection,    lnmt1cuomrocky8_morgan,    4096,   2
12,  longmont,     SlashVMs,  elk,           master,       lnmt1cuomem2,     00:50:56:9b:04:0c,  192.168.104.150, 24,      Prodection,    lnmt1cuomrocky8_morgan,    4096,   2
13,  longmont,     SlashVMs,  elk,           master,       lnmt1cuomem3,     00:50:56:9b:04:0d,  192.168.104.151, 24,      Prodection,    lnmt1cuomrocky8_morgan,    4096,   2
14,  longmont,     MonkeyVMs, development,   gitlab,       lnmt1cuomgitlab,  00:50:56:9b:04:0e,  192.168.104.56,  24,      Production,    lnmt1cuomrocky8_monkey,    2048,   2
15,  longmont,     MonkeyVMs, automation,    runner,       lnmt1cuomglrunr1, 00:50:56:9b:04:0f,  192.168.104.54,  24,      Production,    lnmt1cuomrocky8_monkey,    4096,   2
16,  longmont,     MonkeyVMs, automation,    runner,       lnmt1cuomglrunr2, 00:50:56:9b:04:10,  192.168.104.55,  24,      Production,    lnmt1cuomrocky8_monkey,    4096,   2
17,  longmont,     MonkeyVMs, monitoring,    grafana,      lnmt1cuomgraf1,   00:50:56:9b:04:11,  192.168.104.101, 24,      Production,    lnmt1cuomrocky8_monkey,    2048,   2
18,  longmont,     NikiVMs,   kubernetes,    haproxy,      lnmt1cuomhap1,    00:50:56:9b:04:12,  192.168.104.100, 24,      Production,    lnmt1cuomrocky8_morgan,    4096,   2
19,  longmont,     NikiVMs,   kubernetes,    haproxy,      lnmt1cuomhap2,    00:50:56:9b:04:13,  192.168.104.62,  24,      Production,    lnmt1cuomrocky8_morgan,    4096,   2
20,  longmont,     MonkeyVMs, management,    idmgt,        lnmt1cuomifidm1,  00:50:56:9b:04:14,  192.168.104.139, 24,      Production,    lnmt1cuomrocky8_monkey,    2048,   2
21,  longmont,     SlashVMs,  management,    ipam,         lnmt1cuomipam1,   00:50:56:9b:04:15,  192.168.104.90,  24,      Production,    lnmt1cuomrocky8_slash,     2048,   2
22,  longmont,     MonkeyVMs, automation,    jenkins,      lnmt1cuomjkns1,   00:50:56:9b:04:16,  192.168.104.83,  24,      Production,    lnmt1cuomrocky8_monkey,    4096,   2
23,  longmont,     MonkeyVMs, automation,    jenkins,      lnmt1cuomjkns2,   00:50:56:9b:04:17,  192.168.104.82,  24,      Production,    lnmt1cuomrocky8_monkey,    4096,   2
24,  longmont,     MonkeyVMs, automation,    jenkins,      lnmt1cuomjkns3,   00:50:56:9b:04:18,  192.168.104.81,  24,      Production,    lnmt1cuomrocky8_monkey,    4096,   2
25,  longmont,     MonkeyVMs, management,    jumpstart,    lnmt1cuomjs1,     00:50:56:9b:04:19,  192.168.104.71,  24,      Production,    lnmt1cuomrocky8_monkey,    2048,   2
26,  longmont,     SlashVMs,  management,    katello,      lnmt1cuomkat1,    00:50:56:9b:04:1a,  192.168.104.15,  24,      Production,    lnmt1cuomrocky8_slash,     2048,   2
27,  longmont,     NikiVMs,   kubernetes,    worker,       lnmt1cuomknode1,  00:50:56:9b:04:1b,  192.168.104.163, 24,      Production,    lnmt1cuomcentos7_morgan,  16384,   4
28,  longmont,     NikiVMs,   kubernetes,    worker,       lnmt1cuomknode2,  00:50:56:9b:04:1c,  192.168.104.164, 24,      Production,    lnmt1cuomcentos7_morgan,  16384,   4
29,  longmont,     NikiVMs,   kubernetes,    worker,       lnmt1cuomknode3,  00:50:56:9b:04:1d,  192.168.104.165, 24,      Production,    lnmt1cuomcentos7_morgan,  16384,   4
30,  longmont,     NikiVMs,   kubernetes,    control,      lnmt1cuomkube1,   00:50:56:9b:04:1e,  192.168.104.160, 24,      Production,    lnmt1cuomcentos7_morgan,   8192,   4
31,  longmont,     NikiVMs,   kubernetes,    control,      lnmt1cuomkube2,   00:50:56:9b:04:1f,  192.168.104.161, 24,      Production,    lnmt1cuomcentos7_morgan,   8192,   4
32,  longmont,     NikiVMs,   kubernetes,    control,      lnmt1cuomkube3,   00:50:56:9b:04:20,  192.168.104.162, 24,      Production,    lnmt1cuomcentos7_morgan,   8192,   4
33,  longmont,     MonkeyVMs, management,    mail,         lnmt1cuommail1,   00:50:56:9b:04:21,  192.168.104.140, 24,      Production,    lnmt1cuomrocky8_monkey,    2048,   2
34,  longmont,     SlashVMs,  database,      mongodb,      lnmt1cuommdb1,    00:50:56:9b:04:22,  192.168.104.125, 24,      Production,    lnmt1cuomrocky8_slash,     2048,   2
35,  longmont,     MonkeyVMs, monitoring,    nagios,       lnmt1cuomnagios1, 00:50:56:9b:04:23,  192.168.104.134, 24,      Production,    lnmt1cuomrocky8_monkey,    2048,   2
36,  longmont,     MonkeyVMs, monitoring,    nagios,       lnmt1cuomnagios2, 00:50:56:9b:04:24,  192.168.104.135, 24,      Production,    lnmt1cuomrocky8_monkey,    2048,   2
37,  longmont,     MonkeyVMs, monitoring,    nagios,       lnmt1cuomnagios3, 00:50:56:9b:04:25,  192.168.104.136, 24,      Production,    lnmt1cuomrocky8_monkey,    2048,   2
38,  longmont,     MonkeyVMs, monitoring,    nagios,       lnmt1cuomnagios4, 00:50:56:9b:04:26,  192.168.104.131, 24,      Production,    lnmt1cuomrocky8_monkey,    2048,   2
39,  longmont,     MonkeyVMs, monitoring,    nagios,       lnmt1cuomnagios5, 00:50:56:9b:04:27,  192.168.104.132, 24,      Production,    lnmt1cuomrocky8_monkey,    2048,   2
40,  longmont,     MonkeyVMs, monitoring,    nagios,       lnmt1cuomnagios6, 00:50:56:9b:04:28,  192.168.104.142, 24,      Production,    lnmt1cuomrocky8_monkey,    2048,   2
41,  longmont,     SlashVMs,  management,    netbox,       lnmt1cuomnetbox1, 00:50:56:9b:04:29,  192.168.104.80,  24,      Production,    lnmt1cuomrocky8_slash,     2048,   2
42,  longmont,     NikiVMs,   kubernetes,    storage,      lnmt1cuomnfs1,    00:50:56:9b:04:2a,  192.168.104.170, 24,      Production,    lnmt1cuomrocky8_morgan,    4096,   2
43,  longmont,     SlashVMs,  management,    nmis,         lnmt1cuomnmis8,   00:50:56:9b:04:2b,  192.168.104.88,  24,      Production,    lnmt1cuomrocky8_slash,     2048,   2
44,  longmont,     SlashVMs,  management,    nmis,         lnmt1cuomnmis9,   00:50:56:9b:04:2c,  192.168.104.89,  24,      Production,    lnmt1cuomrocky8_slash,     2048,   2
45,  longmont,     SlashVMs,  database,      postgresql,   lnmt1cuompgrs1,   00:50:56:9b:04:2d,  192.168.104.99,  24,      Production,    lnmt1cuomrocky8_slash,     4096,   2
46,  longmont,     SlashVMs,  management,    salt,         lnmt1cuomsalt1,   00:50:56:9b:04:2e,  192.168.104.119, 24,      Production,    lnmt1cuomrocky8_slash,     2048,   2
47,  longmont,     SlashVMs,  telecom,       sips,         lnmt1cuomsips1,   00:50:56:9b:04:2f,  192.168.104.72,  24,      Production,    lnmt1cuomrocky8_slash,     2048,   2
48,  longmont,     SlashVMs,  management,    syslog,       lnmt1cuomsyslog,  00:50:56:9b:04:30,  192.168.104.50,  24,      Production,    lnmt1cuomrocky8_slash,     2048,   2
49,  longmont,     MonkeyVMs, management,    terraform,    lnmt1cuomtform1,  00:50:56:9b:04:31,  192.168.104.133, 24,      Production,    lnmt1cuomrocky8_monkey,    2048,   2
50,  longmont,     MonkeyVMs, management,    tool,         lnmt1cuomtool11,  00:50:56:9b:04:32,  192.168.104.60,  24,      Production,    lnmt1cuomrocky8_monkey,    2048,   2
51,  longmont,     SlashVMs,  management,    vault,        lnmt1cuomvault1,  00:50:56:9b:04:33,  192.168.104.118, 24,      Production,    lnmt1cuomrocky8_slash,     2048,   2
52,  longmont,     MonkeyVMs, documents,     mediawiki,    lnmt1cuomwiki1,   00:50:56:9b:04:34,  192.168.104.103, 24,      Production,    lnmt1cuomrocky8_monkey,    2048,   2
53,  longmont,     SlashVMs,  database,      mysql,        lnmt1cuomysql1,   00:50:56:9b:04:35,  192.168.104.85,  24,      Production,    lnmt1cuomrocky8_slash,     2048,   2
54,  longmont,     MonkeyVMs, automation,    ansible,      lnmt1cuomaap1,    00:50:56:9b:04:36,  192.168.104.235, 24,      Production,    lnmt1cuomredhat9_monkey,   4096,   4
55,  longmont,     MonkeyVMs, automation,    ansible,      lnmt1cuomaah1,    00:50:56:9b:04:37,  192.168.104.236, 24,      Production,    lnmt1cuomredhat9_monkey,   4096,   4
56,  longmont,     MonkeyVMs, automation,    python,       lnmt1cuomnexus,   00:50:56:9b:04:38,  192.168.104.237, 24,      Production,    lnmt1cuomrocky8_monkey,    4096,   4


02,  nederland,    MonkeyVMS, storage,       backups,      ndld1cuombackup1, 00:50:56:9b:05:02,  192.168.105.91,  24,      Home,          ndld1cuomrocky8_monkey,    2048,   2
03,  nederland,    MonkeyVMS, development,   source,       ndld1cuomdev1,    00:50:56:9b:05:03,  192.168.105.52,  24,      Home,          ndld1cuomrocky8_monkey,    2048,   2
04,  nederland,    MonkeyVMS, management,    dns,          ndld1cuomdns1,    00:50:56:9b:05:04,  192.168.105.153, 24,      Home,          ndld1cuomrocky8_monkey,    2048,   2
05,  nederland,    MonkeyVMS, management,    dns,          ndld1cuomdns2,    00:50:56:9b:05:05,  192.168.105.154, 24,      Home,          ndld1cuomrocky8_monkey,    2048,   2
06,  nederland,    MonkeyVMS, development,   git,          ndld1cuomgit1,    00:50:56:9b:05:06,  192.168.105.55,  24,      Home,          ndld1cuomrocky8_monkey,    2048,   2
07,  nederland,    MonkeyVMs, automation,    runner,       ndld1cuomglrunr1, 00:50:56:9b:05:07,  192.168.105.53,  24,      Home,          ndld1cuomrocky8_monkey,    4096,   2
08,  nederland,    MonkeyVMs, automation,    runner,       ndld1cuomglrunr2, 00:50:56:9b:05:08,  192.168.105.54,  24,      Home,          ndld1cuomrocky8_monkey,    4096,   2
09,  nederland,    MonkeyVMS, media,         movies,       ndld1cuommovie1,  00:50:56:9b:05:09,  192.168.105.97,  24,      Home,          ndld1cuomrocky8_monkey,    2048,   2
10,  nederland,    MonkeyVMS, development,   photos,       ndld1cuomphoto1,  00:50:56:9b:05:0a,  192.168.105.90,  24,      Home,          ndld1cuomrocky8_monkey,    2048,   2
11,  nederland,    MonkeyVMS, storage,       backups,      ndld1cuomsamba1,  00:50:56:9b:05:0b,  192.168.105.92,  24,      Home,          ndld1cuomrocky8_monkey,    2048,   2
